channel,date,time,name
"Първа програма",1984-12-31,10:10,"За децата: Музика в картини, Хижата на Робинзон и Снежните човеци"
"Първа програма",1984-12-31,12:05,"Шарена поляна - с участието на ансамбъл за народни песни и танци - Ямбол"
"Първа програма",1984-12-31,12:30,Новини
"Първа програма",1984-12-31,16:30,Новини
"Първа програма",1984-12-31,16:45,"На раздумка и песен - фолклорна програма съвместно с Българско радио"
"Първа програма",1984-12-31,17:15,"За децата: Приказка за звездното момче - игрален филм (I серия)"
"Първа програма",1984-12-31,19:40,"Панорами-84 (II част)"
"Първа програма",1984-12-31,20:30,"В новогодишната нощ"
"Първа програма",1984-12-31,23:30,"Новогодишни хора"
"Първа програма",1984-12-31,23:50,"Новогодишно приветствие към българския народ на генералния секретар на ЦК на БКП и председател на Държавния съвет на НРБ Тодор Живков"
"Първа програма",1984-12-31,00:05,"Жива, здрава годинчица - хора и ръченици"
"Първа програма",1984-12-31,00:15,"Новогодишно поздравление на Централната съветска телевизия"
"Първа програма",1984-12-31,00:30,"Нощен експрес-85 - интернационално забавно-музикално предаване"
"Първа програма",1984-12-31,03:30,"Край на програмата"
"Втора програма",1989-01-14,16:15,"Музикална миниатюра: ""Мубава си, моя горо"""
"Втора програма",1989-01-14,16:20,"Театрални меридиани: ""Суфльорката и други едноактни пиеси"" от Руди Шрал - спектакъл на Телевизията на ГДР, режисьор - Роланд Оеме, в ролите: Кете Райхел, Фред Делмаре, Дитер Монтаг и др., първо излъчване"
"Втора програма",1989-01-14,17:45,"Декемврийски музикални вечери"
"Втора програма",1989-01-14,18:40,Днес
"Втора програма",1989-01-14,18:50,"София - публицистично предаване"
"Втора програма",1989-01-14,19:30,"Култура: Време за театър"
"Втора програма",1989-01-14,20:00,"Художествена самодейност: ""Студентска среща"""
"Втора програма",1989-01-14,20:40,"Минути за свободното време"""
"Втора програма",1989-01-14,21:10,"Избрано от фонда на БТ: ""Снежни пиеси"" - забавно-музикално предаване;"
"Първа програма",1989-01-14,08:30,"Добро утро - информационно музикално предаване"
"Първа програма",1989-01-14,10:30,Изберете
"Първа програма",1989-01-14,10:35,"Приключенията на тримата ветерани - детски игрален филм"
"Първа програма",1989-01-14,12:10,"Искри от манежа - забавно предаване"
"Първа програма",1989-01-14,12:30,Днес
"Първа програма",1989-01-14,12:40,"Естеството на нещата: ""Седмият континент"" - научнопопулярен филм (IX епизод)"
"Първа програма",1989-01-14,13:10,"Тв реклама представя: Завод ""Република"" - Своге"
"Първа програма",1989-01-14,13:20,"Ски: Спускане (мъже) - сустезания за световната купа - пряко предаване от Кицбрюел (Австрия)"
"Първа програма",1989-01-14,14:15,"Тв реклама представя: ТК ""Тунджа"" - Ямбол"
"Първа програма",1989-01-14,14:30,"В света на изкуството ""Вълшебните звуци - история на симфонията"" (II епизод)"
"Първа програма",1989-01-14,16:00,"Вариант - младежко предаване"
"Първа програма",1989-01-14,17:00,Днес
"Първа програма",1989-01-14,17:10,"С песните на Славка Калчева - концерт народна музика"
"Първа програма",1989-01-14,17:35,"На гости на Ново село - публицистично предаване"
"Първа програма",1989-01-14,18:00,"Срещи ЛИК: Ясен Антов"
"Първа програма",1989-01-14,19:00,"История на света - театър на сенките по музика на И. Стравински"
"Първа програма",1989-01-14,19:25,"Ферди мравката - детски анимационен филм (XII епизод)"
"Първа програма",1989-01-14,19:50,"Лека нощ, деца!"
"Първа програма",1989-01-14,20:00,Панорама
"Първа програма",1989-01-14,21:00,"Силнодейструващо лекарство - четирисериен тв филм (САЩ, 1966г.), I епизод, режисьор - Гай Грийн, в ролите Бен Крос, Патрик Дъфи, Дъглас Феърбанск - син и др. първо излъчване"
"Първа програма",1989-01-14,21:50,Изберете
"Първа програма",1989-01-14,21:55,"Декамерон - анимационен филм (II епизод) и ""Алф"" - анимационен филм (I епизод)"
"Първа програма",1989-01-14,22:20,"В края на деня"
"Първа програма",1989-01-14,22:50,"Студио X - ""Звездоброй"" - трисериен тв филм (СССР) (I серия), режисьор Анатолий Тютюник, в ролите: Албина Матвеева, Игор Ледогоров, Сергей Юрски и др., с надписи, първо излъчване"
"Втора програма",1989-04-07,18:45,"Музикална миниатюра: ""Барем се ерген мамо находих"" в изпълнение на Калинка Вълчева"
"Втора програма",1989-04-07,18:50,Днес
"Втора програма",1989-04-07,19:00,"Обущарят чичо Спас, магарето и Тошко - тв филм за деца и юноши (V епизод)"
"Втора програма",1989-04-07,19:25,"Тв дискотека с участието на Кичка Бодурова, Росица Ганева, Васил Петров, дует Каравел и др."
"Втора програма",1989-04-07,20:00,"Загадката на мегалитите в България - трето предаване от цикъла ""Спорно-безспорно"""
"Втора програма",1989-04-07,20:20,"Скок - документален филм на СТФ ""Екран"""
"Втора програма",1989-04-07,20:30,Култура
"Втора програма",1989-04-07,21:50,Днес
"Втора програма",1989-04-07,22:00,"Море - тв журнал"
"Втора програма",1989-04-07,22:30,"Селският нотариус - четирисериен тв филм (Унгария) I епизод. режисьор Ева Журж, в ролите Андраш Козак, Пирошка Молнар, Габор Конц и др., първо излъчване"
"Втора програма",1989-04-07,23:30,"Републиканско първенство по баскетбол - репортаж"
"Първа програма",1989-04-07,10:00,"По света и у нас"
"Първа програма",1989-04-07,10:20,"Тв справочник"
"Първа програма",1989-04-07,10:30,"Призраци отвъд - детски тв филм (II епизод)"
"Първа програма",1989-04-07,11:00,"БТ за Интервизия: Модерна керамика и социални пространства"
"Първа програма",1989-04-07,11:30,"Зъб за зъб - тв филм (ГДР, 1988), VII епизод"
"Първа програма",1989-04-07,12:30,Днес
"Първа програма",1989-04-07,17:00,Днес
"Първа програма",1989-04-07,17:10,"20 минути с... - музикално предаване с участието на Димитрий Маликов, Лайма Вайкуле, Алексей Глизин, Татяна Петрова и ансамбъл Арсенал"
"Първа програма",1989-04-07,17:30,"Призраци отвъд - детски тв филм (III епизод)"
"Първа програма",1989-04-07,18:00,"Литературен дневник"
"Първа програма",1989-04-07,18:30,"Наука, техника и технологии: Лизингът в служба на технологичното обновление на икономиката ни"
"Първа програма",1989-04-07,19:00,"Белият цвят на надеждата - предаване за Деня на здравния работник"
"Първа програма",1989-04-07,19:30,"Тв справочник"
"Първа програма",1989-04-07,19:40,"Телевизионен преглед ""Детски екран"" - Варна'89"
"Първа програма",1989-04-07,19:50,"Лека нощ, деца! - Зоопаркът в ремонт - анимационен филм"
"Първа програма",1989-04-07,20:00,"Време - информационна програма на централната съветска телевизия"
